파일경로,파일명,제목,아티스트,연도,장르,추천장르,Spotify_인기도,Spotify_URL,검색_결과
"/Users/mac/Downloads/djing/Ty Dolla S ft Trey Songz, French Montana, & DJ Mustard - Paranoid (Remix) (Dirty).mp3","Ty Dolla S ft Trey Songz, French Montana, & DJ Mustard - Paranoid (Remix) (Dirty).mp3",Paranoid (Remix) (Dirty),"Ty Dolla S ft Trey Songz, French Montana, & DJ Mustard",2014.0,Hip Hop / R&B / West Coast / Ratchet,,54,https://open.spotify.com/track/1rEHQCkmLYY0CDrIborSoF,발견 (유사도: 0.80)
/Users/mac/Downloads/djing/Ed Sheeran & Travis Scott - Antisocial (Clean).mp3,Ed Sheeran & Travis Scott - Antisocial (Clean).mp3,Antisocial (Clean),Ed Sheeran & Travis Scott,2019.0,Pop / Hip Hop / Pop Trap,,64,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW,발견 (유사도: 1.00)
"/Users/mac/Downloads/djing/Lil Nas X, Jack Harlow - INDUSTRY BABY.mp3","Lil Nas X, Jack Harlow - INDUSTRY BABY.mp3",INDUSTRY BABY,"Lil Nas X, Jack Harlow",2021.0,Hip Hop / Trap / Pop Rap,,76,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk,발견 (유사도: 0.88)
"/Users/mac/Downloads/djing/Lil Wayne feat Bobby Valentino, Kidd Kidd - Mrs Officer (Dirty).mp3","Lil Wayne feat Bobby Valentino, Kidd Kidd - Mrs Officer (Dirty).mp3",Mrs Officer (Dirty),"Lil Wayne feat Bobby Valentino, Kidd Kidd",2008.0,Hip Hop / Rap / Southern,,70,https://open.spotify.com/track/7gihksIHhs6nw5tYlI6UEq,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/T-Pain ft Yung Joc - Buy U A Drank (Shawty Snappin') (Clean).mp3,T-Pain ft Yung Joc - Buy U A Drank (Shawty Snappin') (Clean).mp3,Buy U A Drank (Shawty Snappin') (Clean),T-Pain ft Yung Joc,2007.0,R&B / Hip Hop / Club / Auto-Tune,,81,https://open.spotify.com/track/1tkMs9wDPknQ3ZHcKDw1ES,발견 (유사도: 1.00)
"/Users/mac/Downloads/djing/Snoop Dogg, Dr. Dre & Cocoa Sarai - Fire (Dirty).mp3","Snoop Dogg, Dr. Dre & Cocoa Sarai - Fire (Dirty).mp3",Fire (Dirty),"Snoop Dogg, Dr. Dre & Cocoa Sarai",2024.0,Hip Hop,,46,https://open.spotify.com/track/0islKhgvB3HiMJY8YN9ssE,발견 (유사도: 0.88)
/Users/mac/Downloads/djing/The Black Eyed Peas - My Humps (Dirty).mp3,The Black Eyed Peas - My Humps (Dirty).mp3,My Humps (Dirty),The Black Eyed Peas,2005.0,Pop / Hip Hop / Pop Rap / Mainstream,,80,https://open.spotify.com/track/20jYtEun4dUdYZ9foaOC48,발견 (유사도: 0.92)
/Users/mac/Downloads/djing/Coi Leray ft Lil Durk - No More Parties (Remix) (Dirty).mp3,Coi Leray ft Lil Durk - No More Parties (Remix) (Dirty).mp3,No More Parties (Remix) (Dirty),Coi Leray ft Lil Durk,2021.0,Hip Hop / Pop Rap / East Coast,,49,https://open.spotify.com/track/3R6wLBD4oU6op8L4YfMho9,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Snoop Dogg - Gin & Juice (Dirty).mp3,Snoop Dogg - Gin & Juice (Dirty).mp3,Gin & Juice (Dirty),Snoop Dogg,1993.0,Hip Hop / G-Funk / West Coast,,76,https://open.spotify.com/track/39QBkWKnap8wRSW4WB9OK0,발견 (유사도: 0.82)
/Users/mac/Downloads/djing/Diany Dior - THiCK (Dirty).mp3,Diany Dior - THiCK (Dirty).mp3,THiCK (Dirty),Diany Dior,2025.0,Hip Hop / Latin‑Infused Drill (Dem Bow),,27,https://open.spotify.com/track/39tFuFoNw9dzRpvkxfR34b,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/넉살 (Nucksal) & 한해 & 라이노 & 조우찬 - N분의 1 (Feat. 다이나믹듀오).mp3,넉살 (Nucksal) & 한해 & 라이노 & 조우찬 - N분의 1 (Feat. 다이나믹듀오).mp3,N분의 1 (Feat. 다이나믹듀오),넉살 (Nucksal) & 한해 & Rhino (라이노) & 조우찬,2017.0,Hip Hop / K-Rap,,,,찾을 수 없음
/Users/mac/Downloads/djing/Tink & Yung Bleu - Stingy (Clean).mp3,Tink & Yung Bleu - Stingy (Clean).mp3,Stingy (Clean),Tink & Yung Bleu,2023.0,R&B / Hip Hop,,41,https://open.spotify.com/track/2sMEuOP85yZM0qd6W4vxo0,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Mr. Collipark & DJA & Kase Work ft Ying Yang Twins - Thicky Minaj (Dirty) (Extended).mp3,Mr. Collipark & DJA & Kase Work ft Ying Yang Twins - Thicky Minaj (Dirty) (Extended).mp3,Thicky Minaj (Dirty) (Extended),Mr. Collipark & DJA & Kase Work ft Ying Yang Twins,2016.0,Twerk / Southern Hip Hop / Crunk,,2,https://open.spotify.com/track/2NdOtbnX0Q4rfTij5P0yuo,발견 (유사도: 0.60)
/Users/mac/Downloads/djing/Sandy Cheekz - Where Dem Dollaz At (Dirty).mp3,Sandy Cheekz - Where Dem Dollaz At (Dirty).mp3,Where Dem Dollaz At (Dirty),Sandy Cheekz,2025.0,Hip Hop / Contemporary Hip Hop,,5,https://open.spotify.com/track/0v23oJIzCNIe2OSXX60riA,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Lil Yachty - Murda (Dirty).mp3,Lil Yachty - Murda (Dirty).mp3,Murda (Dirty),Lil Yachty,2025.0,Hip Hop,,71,https://open.spotify.com/track/3orAdhaGP0RhjMN3f8B8Im,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/선미 - 주인공.mp3,선미 - 주인공.mp3,주인공,선미,2018.0,Pop / Dance / K-Pop,,24,https://open.spotify.com/track/3QWIU670TPakDdLLD2lBTM,발견 (유사도: 0.60)
/Users/mac/Downloads/djing/Tyga & YG - Time For That (Dirty).mp3,Tyga & YG - Time For That (Dirty).mp3,Time For That (Dirty),Tyga & YG,2023.0,Hip Hop / West Coast / Pop Rap,,32,https://open.spotify.com/track/0oKwmvHRJUG1hw6k74QOsl,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Obie Trice - Got Some Teeth (Dirty).mp3,Obie Trice - Got Some Teeth (Dirty).mp3,Got Some Teeth (Dirty),Obie Trice,2003.0,Hip Hop / Rap,,47,https://open.spotify.com/track/7tszeVkfxO5ISkjZWpIG88,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Rico Nasty - Skullflower (Dirty).mp3,Rico Nasty - Skullflower (Dirty).mp3,Skullflower (Dirty),Rico Nasty,2022.0,Pop / Hip Hop / Punk‑Rap,,29,https://open.spotify.com/track/5yEg8DS2WhVvX3kLQo1cA9,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Mann ft 50 Cent - Buzzin (Remix) (Dirty).mp3,Mann ft 50 Cent - Buzzin (Remix) (Dirty).mp3,Buzzin (Remix) (Dirty),Mann ft 50 Cent,2010.0,Hip Hop / West Coast / Club,,45,https://open.spotify.com/track/3BJ8SjJ2TeMxmTDPeC8yaZ,발견 (유사도: 0.82)
/Users/mac/Downloads/djing/Honey Bxby - Right On Time (Dirty).mp3,Honey Bxby - Right On Time (Dirty).mp3,Right On Time (Dirty),Honey Bxby,2025.0,R&B,,40,https://open.spotify.com/track/4H3QUtuWtwVzIzODGtkSJh,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Portugal The Man - Feel It Still (Main).mp3,Portugal The Man - Feel It Still (Main).mp3,Feel It Still (Main),Portugal. The Man,2017.0,Pop / Top 40 / Alternative,,85,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK,발견 (유사도: 1.00)
"/Users/mac/Downloads/djing/Mariah Angeliq, Bad Gyal Y Maria Becerra - BOBO (Dirty).mp3","Mariah Angeliq, Bad Gyal Y Maria Becerra - BOBO (Dirty).mp3",BOBO (Dirty),"Mariah Angeliq, Bad Gyal Y Maria Becerra",2021.0,Reggaeton / Latin Pop,,12,https://open.spotify.com/track/0KWpUCo16hZFlfKpS2d9cI,발견 (유사도: 0.88)
/Users/mac/Downloads/djing/Teyana Taylor ft King Combs - How You Want It (Dirty).mp3,Teyana Taylor ft King Combs - How You Want It (Dirty).mp3,How You Want It (Dirty),Teyana Taylor ft King Combs,2019.0,R&B / Hip Hop,,51,https://open.spotify.com/track/0rbnYyj0Zq2pNJSzWqtf4g,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Pussycat Dolls - Don't Cha (Dirty).mp3,Pussycat Dolls - Don't Cha (Dirty).mp3,Don't Cha (Dirty),Pussycat Dolls,2005.0,Pop / R&B / Dance,,77,https://open.spotify.com/track/0BxfFnk0YzONqvmrkO0QrB,발견 (유사도: 0.91)
/Users/mac/Downloads/djing/한요한 - Break up! (Feat. 창모 (CHANGMO)).mp3,한요한 - Break up! (Feat. 창모 (CHANGMO)).mp3,Break up! (Feat. 창모 (CHANGMO)),한요한,2024.0,Hip Hop / K-Rap / Rap Rock,,20,https://open.spotify.com/track/77SdyZ2AxTfa849qhQaFVT,발견 (유사도: 0.60)
